Number Nodes,Ranks/Node,Threads per Rank,Simulation run time,I/O run time
128,64,1,37.42741,29.699612
128,16,4,30.554646,5.721768
128,4,16,34.79345,6.806001
128,2,32,33.567934,0.178624
128,1,64,33.58101,0.332716
64,64,1,74.320769,
64,16,4,61.728044,
64,4,16,65.524512,
64,2,32,65.748863,
64,1,64,66.852355,
16,64,1,265.778503,
16,16,4,239.114811,
16,4,16,251.86032,
16,2,32,267.762241,
16,1,64,267.678399,
4,64,1,1002.823942,
4,16,4,968.240309,
4,4,16,1032.547306,
4,2,32,1032.791601,
4,1,64,1032.831161,